Work Item Type,Title,Area Path,Tags,Model Name,Object Type,Table Name,Measure Name,Definition,Format String,Display Folder,Hidden,Lifecycle Status,Governance Status,Source Artefact,Business Definition,Technical Notes,Dependencies,Replacement Measure,Owner,Validation Status
Task,Measure register: Selected Scenario,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Selected Scenario,"SELECTEDVALUE(dim_scenario[Scenario], ""Actual"")",General,_Helpers,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Latest Actual FiscalYear,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Latest Actual FiscalYear,"VAR _result = MAXX( FILTER( ALL(dim_date), -- consider all periods dim_date[IsPeriodClosed] = TRUE() -- must be closed && CALCULATE( [Actual GBP Base]) <> 0 -- has non-zero actuals in that period ), dim_date[FiscalYearNumber] ) RETURN _result",0,_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP Base],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: YTD Budget Variance,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,YTD Budget Variance,[Actual Income] - [PL Budget YTD],General Number (PBI_FormatHint),Exec Dashboards ONLY\PL\Variance,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual Income]; [PL Budget YTD],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: YTD Budget Variance %,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,YTD Budget Variance %,"DIVIDE([YTD Budget Variance], [PL Budget YTD])",0.00%;-0.00%;0.00%,Exec Dashboards ONLY\PL\Variance,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[PL Budget YTD]; [YTD Budget Variance],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Opening Balance,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Opening Balance,"VAR _cap = [Selected FiscalPeriodKey Capped] VAR _year = INT( DIVIDE( _cap, 100, 0 ) ) RETURN IF( ISBLANK( _cap ), BLANK(), CALCULATE( [BS Amount (Scaled)], REMOVEFILTERS( dim_date ), -- clear all date context fact_gl_balances[FiscalYear] = _year, -- filter year on fact directly fact_gl_balances[FiscalPeriod] = 0 -- filter period 0 on fact directly ) )",General Number (PBI_FormatHint),SOFP Measures\Core,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Amount (Scaled)]; [Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Amount AsOf Core,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Amount AsOf Core,"VAR _cap = [Selected FiscalPeriodKey Capped] -- e.g., 202507 VAR _year = QUOTIENT(_cap, 100) VAR _period = MOD( _cap, 100 ) RETURN IF( ISBLANK(_cap), BLANK(), CALCULATE( [BS Amount (Scaled)], REMOVEFILTERS(dim_date), fact_gl_balances[FiscalYear] = _year, -- Period 0 (BFWD) through selected period inclusive fact_gl_balances[FiscalPeriod] >= 0, fact_gl_balances[FiscalPeriod] <= _period ) )",General Number (PBI_FormatHint),SOFP Measures\Core,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Amount (Scaled)]; [Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Closing Balance (As-Of),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Closing Balance (As-Of),[BS Amount AsOf Core],General Number (PBI_FormatHint),SOFP Measures,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Amount AsOf Core],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Movement YTD,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Movement YTD,"VAR _closing = [BS Closing Balance (As-Of)] VAR _opening = [BS Opening Balance (B/fwd)] RETURN IF( OR(ISBLANK(_closing), ISBLANK(_opening)), BLANK(), _closing - _opening )",General Number (PBI_FormatHint),SOFP Measures,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Closing Balance (As-Of)]; [BS Opening Balance (B/fwd)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Closing Balance PY (As-Of),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Closing Balance PY (As-Of),"VAR _cap = [Selected FiscalPeriodKey Capped] VAR _py = IF( ISBLANK(_cap), BLANK(), _cap - 100 ) RETURN IF( ISBLANK(_cap), BLANK(), CALCULATE( [BS Amount (Scaled)] , REMOVEFILTERS(dim_date), KEEPFILTERS( dim_date[FiscalPeriodSort] = _py ) ) )",General Number (PBI_FormatHint),SOFP Measures,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Amount (Scaled)]; [Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Opening Balance (B/fwd),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Opening Balance (B/fwd),[BS Opening Balance],"#,0",SOFP Measures,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Opening Balance],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Selected Statement Unit Multiplier,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Selected Statement Unit Multiplier,"SELECTEDVALUE('Statement Unit'[Multiplier], 1)",0,_Helpers,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Multiplier],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual GBP (Display),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual GBP (Display),"VAR _bsItem = SELECTEDVALUE('cg_BS_Reporting'[BS Time Calc]) VAR _isAccumContext = _bsItem IN { ""As Of Current Period"", ""As Of Prior Period"", ""As Of Prior Year Period"", ""BS Movement"" } VAR SignedValue = CALCULATE( [Actual GBP (Scaled)] , KEEPFILTERS(fact_gl_balances[BSPLFlag] = ""P""), fact_gl_balances[IsOpeningBalance] = FALSE ) RETURN IF( _isAccumContext, BLANK(), SignedValue )",General Number (PBI_FormatHint),_Core GL\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Scaled)]; [BS Time Calc],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Amount (Scaled),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Amount (Scaled),"CALCULATE( [Actual GBP (Scaled)], fact_gl_balances[BSPLFlag] = ""B"" )",General Number (PBI_FormatHint),_Core GL\BS,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Prior Period Closing,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Prior Period Closing,[BS Amount Prior Period],General Number (PBI_FormatHint),SOFP Measures,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Amount Prior Period],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Actual GBP (Scaled),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Actual GBP (Scaled),"VAR _Multiplier = SELECTEDVALUE('Statement Unit'[Multiplier], 1) RETURN DIVIDE([Actual GBP Base], _Multiplier, 0)",General Number (PBI_FormatHint),_Core GL\PL,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP Base]; [Multiplier],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Actual Prior Period,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Actual Prior Period,"VAR _priorKey = [Prior FiscalPeriodKey] RETURN IF( ISBLANK(_priorKey), BLANK(), CALCULATE( [Actual GBP (Display)], REMOVEFILTERS(dim_date), dim_date[FiscalPeriodSort] = _priorKey ) )",General Number (PBI_FormatHint),Exec Dashboards ONLY\PL\Actual,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Actual GBP (Display)]; [Prior FiscalPeriodKey],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Forecast GBP Base,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Forecast GBP Base,SUM(fact_gl_forecasts[ForecastGBP]),General Number (PBI_FormatHint),_Base,Yes,Current - Hidden,Imported from current PBIP; definition present,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Sum of forecasted GBP,Current model measure extracted from TMDL static inspection.,,,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Budget GBP (Scaled),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Budget GBP (Scaled),"VAR _multiplier = [Selected Statement Unit Multiplier] RETURN CALCULATE( DIVIDE( [Budget GBP Base], _multiplier ) )",General Number (PBI_FormatHint),_Core GL\PL,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget GBP Base]; [Selected Statement Unit Multiplier],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Selected Fiscal Period From Key,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Selected Fiscal Period From Key,"VAR _key = [Selected FiscalPeriodKey Capped] RETURN MOD(_key, 100)",0,_Helpers,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Selected Fiscal Year From Key,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Selected Fiscal Year From Key,"VAR _key = [Selected FiscalPeriodKey Capped] RETURN QUOTIENT(_key, 100)",0,_Helpers,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: PL Budget Period,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,PL Budget Period,"VAR _periodKey = [Selected FiscalPeriodKey Capped] VAR _year = QUOTIENT(_periodKey,100) VAR _value = CALCULATE( [Budget GBP (Display)], REMOVEFILTERS(dim_date), dim_date[FiscalYearNumber] = _year, dim_date[FiscalPeriodSort] = _periodKey ) RETURN IF ( ABS ( _value ) < 0.005, BLANK(), _value )",General Number (PBI_FormatHint),Exec Dashboards ONLY\PL\Budget,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Budget GBP (Display)]; [Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: AsOf End Date,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,AsOf End Date,"VAR _cap = [Selected FiscalPeriodKey Capped] -- e.g., 202507 RETURN CALCULATE( MAX( dim_date[Date] ), ALL( dim_date ), dim_date[FiscalPeriodSort] = _cap )",General Date,_Helpers,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Amount AsOf (Date-driven),Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Amount AsOf (Date-driven),"VAR _endDate = [AsOf End Date] RETURN IF( ISBLANK(_endDate), BLANK(), CALCULATE( [BS Amount (Scaled)], fact_gl_balances[BSPLFlag] = ""B"", -- Accumulate from FY start (Apr 1) to the selected period end date DATESYTD( dim_date[Date], ""3/31"" ), dim_date[Date] <= _endDate ) )",General Number (PBI_FormatHint),SOFP Measures\Core,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[AsOf End Date]; [BS Amount (Scaled)],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Movement MoM,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Movement MoM,[BS Closing Balance (As-Of)] - [BS Prior Period Closing],General Number (PBI_FormatHint),SOFP Measures,No,Current - Visible,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[BS Closing Balance (As-Of)]; [BS Prior Period Closing],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: Prior FiscalPeriodKey,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,Prior FiscalPeriodKey,"VAR _current = [Selected FiscalPeriodKey Capped] RETURN CALCULATE( MAX(dim_date[PriorPeriodKey]), REMOVEFILTERS(dim_date), dim_date[FiscalPeriodSort] = _current )",0,_Helpers,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Selected FiscalPeriodKey Capped],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: AsOf Prior End Date,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,AsOf Prior End Date,"VAR _priorCap = [Prior FiscalPeriodKey] RETURN CALCULATE( MAX( dim_date[Date] ), ALL( dim_date ), dim_date[FiscalPeriodSort] = _priorCap )",General Date,_Helpers,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[Prior FiscalPeriodKey],,Finance / BI owner to confirm,Pending regression test
Task,Measure register: BS Amount Prior Period,Finance\Semantic Model,PowerBI;SemanticModel;MeasureRegister;Current,sm_finance_core,Measure,_Measures,BS Amount Prior Period,"VAR _priorEndDate = [AsOf Prior End Date] RETURN IF( ISBLANK(_priorEndDate), BLANK(), CALCULATE( [BS Amount (Scaled)], DATESYTD( dim_date[Date], ""3/31"" ), dim_date[Date] <= _priorEndDate ) )",General Number (PBI_FormatHint),SOFP Measures\Core,Yes,Current - Hidden,Imported from current PBIP; review required,Finance_WS_Semantic_Models.zip::_Measures.tmdl,Missing - requires business-owner definition,Current model measure extracted from TMDL static inspection.,[AsOf Prior End Date]; [BS Amount (Scaled)],,Finance / BI owner to confirm,Pending regression test
